recorded_at,weave_commit,workload,command,mesh_root_label,candidates_or_paths,created_files,updated_files,generated_paths,total_ms,metadata_config_ms,inventory_load_parse_ms,candidate_discovery_ms,planning_ms,rdf_validation_ms,writes_ms,page_generation_ms,notes
2026-05-20T16:36:41-07:00,753d063+working,sflo-gh-pages-settled-v0.1.1,validate mesh,sflo-gh-pages-local,335,0,335,,13802,2.8,307.6,11805.3,1507,17.6,0,0,knownDesignatorPaths=339; validatePublicationPreset=149.3ms; initialCandidates=117.3ms; loopCandidates=11688ms
2026-05-20T17:02:10-07:00,4161696+working,sflo-gh-pages-settled-v0.1.1,validate mesh,sflo-gh-pages-local,335,0,335,,3741,2.8,36.0,1719.1,1783,25.0,0,0,read+candidate cache; candidateCacheHits=56280; candidateCacheStores=339; candidateCacheInvalidations=335; readCacheHits=1002
2026-05-20T20:13:52-07:00,e300c88+working,sflo-gh-pages-settled-v0.1.1,validate mesh,sflo-gh-pages-local,335,0,335,,3769,2.9,38.6,1735.1,1799,15.3,0,0,repeat post-cache timing; candidateCacheHits=56280; candidateCacheStores=339; candidateCacheInvalidations=335; readCacheHits=1002; stagedReadHits=0
2026-05-21T10:24:01-07:00,30721ac,sidecar-fantasy-rules-extracted-terms-five-targets,weave,sidecar-fantasy-rules-docs-temp,5,20,16,6,169.4,3.2,6.2,12.4,6.7,0.9,5.8,128.0,before orchestration refactor; clean HEAD worktree; candidateCacheHits=15; candidateCacheStores=5; candidateCacheInvalidations=5; readCacheHits=22; stagedReadHits=4
2026-05-21T10:24:02-07:00,30721ac+working,sidecar-fantasy-rules-extracted-terms-five-targets,weave,sidecar-fantasy-rules-docs-temp,5,20,16,6,168.0,3.5,6.1,9.3,7.8,0.7,4.5,131.9,after PreparedWeaveExecution refactor; generate uses prepared shared targets; candidateCacheHits=15; candidateCacheStores=5; candidateCacheInvalidations=5; readCacheHits=22; stagedReadHits=4
2026-08-22T16:35:39-07:00,279f86b26fc94340a00bc3c9a38a38e1506624e8+probe-working,stagecraft-phase1-knop-create-scale-legacy-n552,deno run --allow-read --allow-write --allow-env scripts/probe-knop-create-scale.ts --count 552,fresh-temp-mesh-tmpfs,552,1104,552,,1710,,,,,,,,successfulCreates=552; finalMeshInventoryBytes=150713; probeElapsedMs=1623.733; createElapsedMs=1557.654; maxRssKb=222048; DENO_DIR=/tmp/weave-stagecraft-phase1-deno-dir; wrapper=/usr/bin/time -v; baseline before production create edits
2026-08-22T16:49:51-07:00,279f86b26fc94340a00bc3c9a38a38e1506624e8+stagecraft-phase1-working,stagecraft-phase1-knop-create-scale-append-indexed-n552,deno run --allow-read --allow-write --allow-env scripts/probe-knop-create-scale.ts --count 552,fresh-temp-mesh-tmpfs,552,1104,552,,1820,,,,,,,,successfulCreates=552; finalMeshInventoryBytes=154577; probeElapsedMs=1736.860; createElapsedMs=1672.435; maxRssKb=230076; DENO_DIR=/tmp/weave-stagecraft-phase1-deno-dir; wrapper=/usr/bin/time -v; finalized append-planner and indexed-membership path
2026-08-22T19:50:59-07:00,279f86b26fc94340a00bc3c9a38a38e1506624e8+stagecraft-phase1-post-review-working,stagecraft-phase1-knop-create-scale-post-review-final-n552,deno run --allow-read --allow-write --allow-env scripts/probe-knop-create-scale.ts --count 552,fresh-temp-mesh-tmpfs,552,1104,552,,3220,,,,,,,,successfulCreates=552; finalMeshInventoryBytes=220817; probeElapsedMs=3130.525; createElapsedMs=3066.352; maxRssKb=230072; DENO_DIR=/tmp/weave-stagecraft-phase1-deno-dir; wrapper=/usr/bin/time -v; post-review exact-union renderer and first-create preservation
2026-08-22T22:50:55-07:00,9a2ad7f+suffix-proof-working,stagecraft-phase1-knop-create-scale-suffix-proof-n552,deno run --allow-read --allow-write --allow-env scripts/probe-knop-create-scale.ts --count 552,fresh-temp-mesh-tmpfs,552,1104,552,,2060,,,,,,,,successfulCreates=552; finalMeshInventoryBytes=220817; probeElapsedMs=1982.976; createElapsedMs=1919.791; maxRssKb=222432; DENO_DIR=/tmp/weave-stagecraft-phase1-deno-dir; wrapper=/usr/bin/time -v; suffix-only semantic proof; repeated self-contained directives retained
2026-08-23T00:52:37-07:00,1b2f080,stagecraft-phase2-knop-create-scale-no-founding-n552,deno task probe:knop-create-scale --count 552,fresh-temp-mesh,552,1104,552,,2590,,,,,,,,successfulCreates=552; finalMeshInventoryBytes=220817; probeElapsedMs=2463.535; createElapsedMs=2392.355; maxRssKb=230216; meshInventoryBytesRead=61145040; meshInventoryBytesWritten=61364736; wrapper=/usr/bin/time -v; atomic create path; no fixed DENO_DIR so compare directionally with Phase 1
2026-08-23T00:52:37-07:00,1b2f080,stagecraft-phase2-knop-create-founding-settlement-n552,deno task probe:founding-scale --count 552,fresh-temp-mesh,552,2208,1104,,4620,,,,,,,,successfulCreates=552; finalMeshInventoryBytes=220817; probeElapsedMs=4507.340; createElapsedMs=2141.542; settlementElapsedMs=2300.591; maxRssKb=246144; meshInventoryBytesRead=61145040; meshInventoryBytesWritten=61364736; verifiedSnapshotDigests=552; foundingPages=0; wrapper=/usr/bin/time -v; no network permission; socketMessagesSent=0; semantic comparison instrumentation unavailable
